"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"28","Instytut Badań Pollster","SE.pl","2023-09-21","2023-09-22","National","1015","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,30.4,9.7,NA,8.7,1.3,NA,NA,NA,NA,NA,9.8,NA,1.6,NA
"29","IBRiS","Onet.pl","2023-09-20","2023-09-20","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,28.7,10,NA,10.9,1.5,NA,NA,NA,NA,NA,10.1,NA,0.2,NA
"30","United Surveys","DGP and RMF FM","2023-09-18","2023-09-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,29.6,10.7,NA,10.2,3.2,NA,NA,NA,NA,NA,11.1,NA,0,NA
"31","Research Partner","Ariadna","2023-09-15","2023-09-18","National","1065","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,28.2,8.7,NA,10.3,1.7,NA,NA,NA,NA,NA,10.9,NA,NA,NA
"32","Social Changes","wPolityce.pl","2023-09-15","2023-09-18","National","1046","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,10,NA,9,2,NA,NA,NA,NA,NA,8,NA,NA,NA
"33","United Surveys","WP.pl","2023-09-16","2023-09-17","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,28.3,11,NA,10.2,3.7,NA,NA,NA,NA,NA,11.4,NA,NA,NA
"34","IBRiS","Wydarzenia","2023-09-15","2023-09-17","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,29.3,10.9,NA,10.5,1.7,NA,NA,NA,NA,NA,11.7,NA,NA,NA
"35","Estymator","DoRzeczy.pl","2023-09-15","2023-09-16","National","1069","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,29.4,9,NA,11.4,3.6,NA,NA,NA,NA,NA,9.4,NA,NA,NA
"36","IBRiS","Onet.pl","2023-09-13","2023-09-13","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,28.7,12.1,NA,11,1.1,NA,NA,NA,NA,NA,11.1,NA,NA,NA
"37","United Surveys","WP.pl","2023-09-11","2023-09-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,29.8,9.5,NA,11.9,3.4,NA,NA,NA,NA,NA,9.8,NA,NA,NA
"38","Social Changes","wPolityce.pl","2023-09-08","2023-09-11","National","1038","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,32,7,NA,10,2,NA,NA,NA,NA,NA,9,NA,NA,NA
"39","Ipsos","OKO.press and TOK FM","2023-09-08","2023-09-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,30.2,9.3,NA,9.3,1.2,NA,NA,NA,NA,NA,7,NA,NA,NA
"40","IBSP","StanPolityki.pl","2023-09-07","2023-09-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,30.5,8.5,NA,11.6,2,NA,NA,NA,NA,NA,8.7,NA,NA,NA
"41","Estymator","DoRzeczy.pl","2023-09-08","2023-09-09","National","1075","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,29.1,8.9,NA,11.2,3.1,NA,NA,NA,NA,NA,9.8,NA,NA,NA
"42","Kantar","Fakty TVN and TVN24","2023-09-05","2023-09-06","National","732","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,33,6,NA,10,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"43","PGB Opinium","","2023-09-04","2023-09-05","National","1030","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,31.8,10,NA,12.1,2.1,NA,NA,NA,NA,NA,8.5,NA,NA,NA
"44","Research Partner","Ariadna","2023-09-01","2023-09-04","National","1064","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,29.5,8.7,NA,11.1,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA
"45","Social Changes","wPolityce.pl","2023-09-01","2023-09-04","National","1049","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,31,8,NA,12,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"46","United Surveys","WP.pl","2023-09-01","2023-09-03","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,29.6,10.1,NA,11.4,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"47","IBRiS","Onet.pl","2023-08-30","2023-08-31","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,29.3,10.5,NA,12.5,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA
"48","Mands","Wiadomości TVP","2023-08-29","2023-08-31","National","750","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,32.1,11.8,NA,10.7,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA
"49","Social Changes","wPolityce.pl","2023-08-25","2023-08-28","National","1040","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,40,32,8,NA,12,NA,NA,NA,0,NA,NA,6,NA,NA,NA
"50","IBRiS","Rzeczpospolita","2023-08-25","2023-08-26","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,29.5,10.1,NA,13.4,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA
"51","Instytut Badań Pollster","SE.pl","2023-08-23","2023-08-24","National","1038","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,30.4,8.9,NA,10.4,0.9,NA,NA,NA,NA,NA,10.7,0.7,NA,NA
"52","Kantar Public","","2023-08-18","2023-08-23","National","983","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,5,NA,46,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"53","Social Changes","wPolityce.pl","2023-08-18","2023-08-21","National","1062","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,39,29,8,NA,12,NA,NA,NA,1,NA,NA,8,NA,NA,NA
"54","IBRiS","Wydarzenia","2023-08-18","2023-08-21","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,33.4,8.4,NA,12.9,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA
"55","United Surveys","WP.pl","2023-08-18","2023-08-20","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,34.5,7.9,NA,8.7,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"56","Research Partner","Ariadna","2023-08-11","2023-08-14","National","1055","Provided","Not Available","0.1%",NA,NA,1.1,NA,NA,NA,NA,NA,NA,36.3,29.6,8.3,NA,11.7,NA,NA,NA,0.3,0.6,NA,11.4,NA,NA,NA
"57","Social Changes","wPolityce.pl","2023-08-11","2023-08-14","National","1052","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,30,9,NA,11,NA,NA,NA,1,NA,NA,9,NA,NA,NA
"58","Social Changes","wPolityce.pl","2023-07-28","2023-07-31","National","1074","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,30,9,NA,14,NA,NA,NA,1,NA,NA,6,NA,NA,NA
"59","Research Partner","Ariadna","2023-07-29","2023-07-30","National","1092","Provided","Not Available","0.1%",NA,NA,1.1,NA,NA,NA,NA,NA,NA,37,29.8,9.4,NA,11.6,NA,NA,NA,0.2,0.3,NA,9.9,NA,NA,NA
"60","United Surveys","WP.pl","2023-07-29","2023-07-30","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,29.8,9.3,NA,14,NA,NA,NA,NA,0.6,NA,11.3,NA,NA,NA
"61","IBRiS","Rzeczpospolita","2023-07-28","2023-07-29","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,27.3,11.2,NA,13.3,2.1,NA,NA,NA,NA,NA,11.3,NA,NA,NA
"62","Social Changes","wPolityce.pl","2023-07-21","2023-07-24","National","1046","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,30,10,NA,15,NA,NA,NA,1,NA,NA,5,NA,NA,NA
"63","IBRiS","Onet.pl","2023-07-19","2023-07-20","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,29.3,10.5,NA,13.8,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA
"64","Kantar Public","","2023-07-14","2023-07-19","National","983","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,38,37,8,NA,9,NA,NA,NA,NA,NA,0,6,NA,NA,NA
"65","Instytut Badań Pollster","SE.pl","2023-07-17","2023-07-17","National","1000","Provided","Not Available","0.1%",NA,NA,0.4,NA,NA,NA,NA,NA,NA,33.4,29.8,8.9,NA,11.5,1.1,NA,NA,0.1,1.5,NA,10.5,NA,NA,NA
"66","Research Partner","Ariadna","2023-07-14","2023-07-17","National","1084","Provided","Not Available","0.1%",NA,NA,1.3,NA,NA,NA,NA,NA,NA,35.2,29.6,8.2,NA,12.1,NA,NA,NA,0.7,0.8,NA,10.8,NA,NA,NA
"67","Social Changes","wPolityce.pl","2023-07-14","2023-07-17","National","1056","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33,30,10,NA,14,1,NA,NA,1,1,NA,8,NA,NA,NA
"68","IBRiS","Wydarzenia","2023-07-13","2023-07-14","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,29.5,8.4,NA,15.8,NA,NA,NA,NA,0.3,NA,11.6,NA,NA,NA
"69","PGB Opinium","","2023-07-11","2023-07-13","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,29,8.6,NA,16.9,0.5,NA,NA,NA,NA,0.5,9.8,NA,NA,NA
"70","IBSP","StanPolityki.pl","2023-07-06","2023-07-10","National","800","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,30.8,8.9,NA,14.7,0.8,NA,NA,NA,NA,NA,9.4,NA,NA,NA
"71","United Surveys","WP.pl","2023-07-07","2023-07-09","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,28.7,10.8,NA,14.6,NA,NA,NA,NA,1.1,NA,11.1,NA,NA,NA
"72","Estymator","DoRzeczy.pl","2023-07-05","2023-07-07","National","1034","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,33.7,29.9,6.8,NA,14.3,3.4,NA,NA,NA,NA,0.2,10.7,NA,NA,NA
"73","IPSOS","DoRzeczy.pl","2023-06-26","2023-06-28","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,29,11,NA,13,NA,NA,NA,NA,1,NA,9,NA,NA,NA
"74","Social Changes","wPolityce.pl","2023-06-23","2023-06-27","National","1072","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,31,8,NA,14,NA,NA,NA,1,1,NA,7,NA,NA,NA
"75","United Surveys","WP.pl","2023-06-23","2023-06-25","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,29.8,12.8,NA,14.8,NA,NA,NA,NA,0.7,NA,8.4,NA,NA,NA
"76","Ipsos","OKO.press and TOK FM","2023-06-19","2023-06-22","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,33,9,NA,13,NA,NA,NA,NA,2,NA,7,NA,NA,NA
"77","Kantar Public","","2023-06-16","2023-06-19","National","978","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,37.4,37.4,6.9,NA,7.9,NA,NA,NA,NA,1,0,7.9,NA,NA,NA
"78","Instytut Badań Pollster","SE.pl","2023-06-16","2023-06-18","National","1024","Provided","Not Available","0.1%",NA,NA,0.4,NA,NA,NA,NA,NA,NA,34.3,30.7,7.8,NA,10.2,0.7,NA,NA,0.1,1.8,NA,9.8,NA,NA,NA
"79","IBRiS","Rzeczpospolita","2023-06-14","2023-06-15","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,31.8,9.5,NA,12.7,NA,NA,NA,NA,0.3,NA,11.4,NA,NA,NA
"80","Research Partner","Ariadna","2023-06-09","2023-06-12","National","1039","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,36.8,30.7,6.2,NA,12.1,NA,NA,NA,NA,0.6,NA,11.3,NA,NA,NA
"81","Social Changes","wPolityce.pl","2023-06-09","2023-06-12","National","1030","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,31,8,4,10,NA,NA,6,1,NA,NA,NA,NA,NA,NA
"82","United Surveys","WP.pl","2023-06-09","2023-06-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,30.9,10.1,NA,12,NA,NA,NA,NA,0.7,NA,10.6,NA,NA,NA
"83","IBRiS","Wydarzenia","2023-06-06","2023-06-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,30,10.3,NA,12.4,NA,NA,NA,NA,0.3,NA,11.3,NA,NA,NA
"84","IPSOS","DoRzeczy.pl","2023-06-05","2023-06-07","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,7,NA,13,NA,NA,NA,NA,2,NA,10,NA,NA,NA
"85","IBRiS","Onet.pl","2023-06-06","2023-06-06","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,31.6,9.2,NA,12.9,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA
"86","Kantar","Fakty TVN and TVN24","2023-06-05","2023-06-06","National","1003","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,35,7,NA,11,NA,NA,NA,0,NA,NA,11,NA,NA,NA
"87","PGB Opinium","","2023-06-04","2023-06-06","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,31,7.8,NA,14.5,1.5,NA,NA,NA,NA,NA,12.3,NA,NA,NA
"88","Social Changes","wPolityce.pl","2023-06-02","2023-06-05","National","1049","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,37,31,8,NA,11,NA,NA,NA,2,NA,NA,8,NA,NA,NA
"89","IBRiS","Radio ZET","2023-06-04","2023-06-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,30.6,9,NA,14.1,NA,NA,NA,NA,0.2,NA,9.9,NA,NA,NA
"90","United Surveys","DGP and RMF FM","2023-06-02","2023-06-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,29.8,9.5,NA,11.8,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA
"91","Instytut Badań Pollster","SE.pl","2023-05-30","2023-05-31","National","1006","Provided","Not Available","0.1%",NA,NA,0.4,NA,NA,NA,NA,NA,NA,32.3,27.7,11.5,NA,9.8,0.8,NA,NA,0.5,NA,NA,14.2,NA,NA,NA
"92","CBM Indicator","TVP","2023-05-29","2023-05-30","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,28.5,10.2,NA,10.1,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA
"93","Research Partner","Ariadna","2023-05-26","2023-05-29","National","1045","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,36.6,29.6,8.7,NA,10.1,NA,NA,NA,NA,0.6,NA,12.4,NA,NA,NA
"94","Social Changes","wPolityce.pl","2023-05-26","2023-05-29","National","1038","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,38,30,8,NA,10,NA,NA,NA,2,NA,NA,9,NA,NA,NA
"95","United Surveys","WP.pl","2023-05-26","2023-05-28","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,28.4,10.7,NA,10.8,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
"96","IBRiS","Rzeczpospolita","2023-05-26","2023-05-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,27.6,8.4,NA,11.9,1.9,NA,NA,NA,0.6,NA,NA,NA,NA,NA
"97","IBRiS","Wydarzenia","2023-05-19","2023-05-21","National","1020","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,26.3,9.9,NA,11.8,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA
"98","United Surveys","DGP and RMF FM","2023-05-19","2023-05-21","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,28,10.6,NA,10.8,NA,NA,NA,NA,NA,NA,15.4,NA,NA,NA
"99","PGB Opinium","","2023-05-16","2023-05-19","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,29.2,8.5,NA,11.7,2.4,NA,NA,NA,NA,0.5,12.7,NA,NA,NA
"100","IPSOS","DoRzeczy.pl","2023-05-16","2023-05-19","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,26,10,NA,12,NA,NA,NA,NA,NA,2,13,NA,NA,NA
"101","Kantar Public","","2023-05-12","2023-05-17","National","979","Provided","Not Available","0.1%",NA,NA,1.7,NA,NA,NA,NA,NA,NA,35.7,32.8,8.9,NA,7.9,NA,NA,NA,NA,NA,1,11.9,NA,NA,NA
"102","IBRiS","Onet.pl","2023-05-16","2023-05-16","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,27.8,10.3,NA,10.9,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"103","Instytut Badań Pollster","SE.pl","2023-05-15","2023-05-15","National","1083","Provided","Not Available","0.1%",NA,NA,0.4,NA,NA,NA,NA,NA,NA,34.1,27.8,10,NA,10,NA,NA,NA,NA,NA,1.6,12.4,NA,NA,NA
"104","Research Partner","Ariadna","2023-05-12","2023-05-15","National","1053","Provided","Not Available","0.1%",NA,NA,0.5,NA,NA,NA,NA,NA,NA,37.1,29.8,8.8,NA,8.9,NA,NA,NA,NA,NA,1.2,12.8,NA,NA,NA
"105","United Surveys","WP.pl","2023-05-12","2023-05-14","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,26.5,10.8,NA,10.2,NA,NA,NA,NA,NA,0.2,16.3,NA,NA,NA
"106","Social Changes","wPolityce.pl","2023-04-28","2023-05-02","National","1048","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,39,27,9,6,8,NA,NA,7,0,NA,NA,NA,NA,NA,NA
"107","United Surveys","WP.pl","2023-04-27","2023-04-30","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,26.4,9.3,NA,12.4,NA,NA,NA,NA,NA,0.2,16,NA,NA,NA
"108","Social Changes","wPolityce.pl","2023-04-21","2023-04-24","National","1048","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,28,10,5,9,NA,NA,7,1,NA,NA,NA,NA,NA,NA
"109","Estymator","DoRzeczy.pl","2023-04-20","2023-04-21","National","1059","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,35.7,25.5,9.3,6.8,11.2,3.5,NA,6.2,NA,NA,0.2,NA,NA,NA,NA
"110","PGB Opinium","","2023-04-17","2023-04-19","National","1028","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,34.6,28.2,8.5,5,10.7,1.8,NA,8.9,NA,0.5,NA,NA,NA,NA,NA
